,Randolph,8,0,1,1,6,92,33,56,3,,,
,Schley,5,0,0,0,5,34,7,27,0,,,
,Screven,12,0,0,3,9,223,80,123,20,1,,
,Seminole,10,3,0,3,4,87,32,51,4,1,,
,Stephens,25,1,9,4,11,492,136,327,29,0,,
,Stewart,2,0,0,0,2,24,12,10,2,0,,
,Taliaferro,8,0,2,1,5,68,27,36,5,0,,
,Taylor,3,1,1,1,0,83,20,49,14,,,
,Telfair,6,0,0,1,5,66,30,34,2,0,,
,Thomas,40,1,2,3,34,580,198,339,43,8,,
,Tift,136,3,8,31,94,860,220,592,48,1,,
,Toombs,18,1,5,3,9,284,91,167,26,0,,
,Towns,3,0,0,1,2,135,65,65,5,0,,
,Treutlen,4,0,0,0,4,84,35,47,2,0,,
,Turner,8,0,0,1,7,104,26,70,8,1,,
,Union,15,1,0,1,13,138,56,70,12,0,,
,Upson,21,1,0,3,17,463,116,314,33,,,
,Ware,57,2,5,4,46,757,199,538,20,0,,
,Warren,21,0,0,0,21,61,29,22,10,0,,
,Washington,21,0,2,3,16,231,52,175,4,0,,
,Wayne,160,1,3,16,140,"1,003",233,766,4,0,,
,Webster,1,0,0,1,0,31,20,8,3,1,,
,White,11,0,0,0,11,375,137,202,36,0,,
,Wilcox,8,1,1,0,6,79,25,49,5,0,,
,Wilkes,6,0,0,0,6,36,7,27,2,0,,
,Wilkinson,11,1,0,1,9,124,36,76,12,3,,
IDAHO - Metropolitan Counties,Ada,122,2,14,3,103,801,165,597,39,20,,
,Bannock,6,0,1,0,5,76,13,59,4,0,,
,Boise,11,0,1,0,10,121,33,87,1,0,,
,Bonneville,81,5,10,3,63,904,213,656,35,5,,
,Canyon,74,0,8,1,65,727,316,364,47,4,,
,Franklin,0,0,0,0,0,57,6,49,2,0,,
,Gem,13,0,1,0,12,41,22,16,3,0,,
